,id,city,gender,pom,toss_decision,winner,team_type,won_by
1083,1083,Hyderabad,male,DA Warner,field,Chennai Super Kings,club,{'runs': 22}
1084,1084,Chandigarh,male,LMP Simmons,bat,Mumbai Indians,club,{'runs': 23}
1085,1085,Mumbai,male,AM Rahane,field,Delhi Daredevils,club,{'runs': 14}
1086,1086,Chennai,male,SK Raina,bat,Chennai Super Kings,club,{'runs': 24}
1087,1087,Kolkata,male,UT Yadav,field,Sunrisers Hyderabad,club,{'runs': 35}
1088,1088,Mumbai,male,Harbhajan Singh,bat,Delhi Daredevils,club,{'wickets': 5}
1089,1089,Bangalore,male,CH Gayle,field,Kings XI Punjab,club,{'runs': 138}
1090,1090,Mumbai,male,EJG Morgan,field,Rajasthan Royals,club,{'runs': 7}
1091,1091,Chennai,male,HH Pandya,bat,Chennai Super Kings,club,{'wickets': 6}
1092,1092,Kolkata,male,AD Russell,bat,Kings XI Punjab,club,{'wickets': 1}
1093,1093,Raipur,male,MC Henriques,bat,Sunrisers Hyderabad,club,{'runs': 6}
1094,1094,Mumbai,male,AB de Villiers,bat,Royal Challengers Bangalore,club,{'runs': 39}
1095,1095,Chennai,male,RA Jadeja,bat,Chennai Super Kings,club,{'runs': 12}
1096,1096,Hyderabad,male,DA Warner,bat,Sunrisers Hyderabad,club,{'runs': 5}
1097,1097,Raipur,male,Z Khan,bat,Chennai Super Kings,club,{'wickets': 6}
1098,1098,Chandigarh,male,AR Patel,field,Royal Challengers Bangalore,club,{'runs': 22}
1099,1099,Mumbai,male,HH Pandya,field,Kolkata Knight Riders,club,{'runs': 5}
1100,1100,Hyderabad,male,V Kohli,bat,Sunrisers Hyderabad,club,{'wickets': 6}
1101,1101,Chandigarh,male,P Negi,bat,Kings XI Punjab,club,{'wickets': 7}
1102,1102,Mumbai,male,SR Watson,bat,Rajasthan Royals,club,{'runs': 9}
1103,1103,Bangalore,male,,field,Royal Challengers Bangalore,club,
1104,1104,Hyderabad,male,MJ McClenaghan,bat,Sunrisers Hyderabad,club,{'wickets': 9}
1105,1105,Mumbai,male,KA Pollard,bat,Mumbai Indians,club,{'runs': 25}
1106,1106,Pune,male,AB de Villiers,bat,Royal Challengers Bangalore,club,{'runs': 71}
1107,1107,Ranchi,male,A Nehra,field,Chennai Super Kings,club,{'wickets': 3}
1108,1108,Kolkata,male,RG Sharma,field,Chennai Super Kings,club,{'runs': 41}
1109,1109,Mumbai,male,AM Rahane,bat,Mumbai Indians,club,{'wickets': 9}
1110,1110,Kolkata,male,AD Russell,field,Kolkata Knight Riders,club,{'wickets': 9}
1111,1111,Chandigarh,male,AJ Finch,field,Gujarat Lions,club,{'wickets': 5}
